direccion_territorial,area_protegida,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
  ORINOQUIA,CHINGAZA,346,2168,3365,3349,1600,1617,1844,589,1239,2891,3427,4328,4806,6986,11561,8508,9487,13801,15081,4462
  ORINOQUIA,SUMAPAZ,100,690,403,825,662,740,162,0,0,0,0,0,0,141,0,41,218,145,0,0
  ORINOQUIA,TUPARRO,594,331,266,272,353,314,116,107,0,0,0,0,0,124,202,16,33,117,134,0
 AMAZONIA,AMACAYACU,2106,3722,3255,3551,2249,2179,2423,2346,2613,3846,6367,7524,8884,9284,11441,14832,12426,2448,0,0
 ANDES NORORIENTALES,COCUY,4000,0,912,1947,919,525,356,261,613,2224,3836,4543,3073,3639,7350,7605,6534,9747,14147,9764
 ANDES NORORIENTALES,ESTORAQUES,326,2691,3943,6158,4943,3679,5099,4443,4396,5271,6109,5549,6177,6445,6638,5593,0,0,0,0
 ANDES NORORIENTALES,GUANENTA FONCE,0,0,0,91,397,293,169,106,65,110,134,81,84,54,2716,2164,30,0,43,0
 ANDES NORORIENTALES,IGUAQUE,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
 ANDES NORORIENTALES,PISBA,0,0,20,101,122,182,48,27,42,57,3,0,0,58,279,44,42,0,8,0
 ANDES NORORIENTALES,TAMA,1047,270,518,178,250,171,47,0,0,0,0,0,0,0,3,12,0,0,0,0
 ANDES OCCIDENTALES,COROTA,45819,16830,17768,17267,12201,9305,15644,15405,7348,0,7453,30778,29870,25921,27672,30365,24882,34491,33489,17392
 ANDES OCCIDENTALES,GALERAS,50,0,100,1555,1255,2087,3469,2210,3564,2020,0,0,0,0,39,107,113,75,195,53
 ANDES OCCIDENTALES,GUACHAROS,1000,590,242,47,576,273,326,163,360,341,373,378,334,515,698,470,710,668,829,389
 ANDES OCCIDENTALES,LOS NEVADOS,18703,20393,24850,20551,15966,23593,29525,31117,48154,80915,71236,59455,57567,49888,59739,51337,44141,15384,21004,16051
 ANDES OCCIDENTALES,OTUN QUIMBAYA,0,892,844,1995,975,826,1515,2443,2974,3009,3018,2227,847,1212,524,2792,2667,2628,3001,1245
 ANDES OCCIDENTALES,PURACE,1698,4614,4147,5521,2155,1426,585,228,565,765,1428,791,1970,2680,2842,2011,3076,2959,3302,0
 CARIBE,COLORADOS,140,0,158,320,316,83,188,82,95,324,544,1144,523,985,296,42,117,385,532,212
 CARIBE,CORALES DEL ROSARIO,290912,297948,275846,275324,234687,250776,201020,194814,219917,228200,221150,292140,277739,269299,317851,294430,319282,420492,443458,165547
 CARIBE,FLAMENCOS,200,0,13356,2,8793,11708,3230,2558,998,0,2231,3579,5320,6024,454,363,4165,3259,13779,4146
 CARIBE,MACUIRA,200,50,0,0,122,277,301,321,376,0,559,234,937,964,139,77,215,590,722,462
 CARIBE,OLD PROVIDENCE,0,0,17650,0,0,26238,8361,9422,9238,8043,4226,7091,10848,9193,10314,8392,9783,10089,10591,4717
 CARIBE,SIERRA NEVADA DE SANTA MARTA,0,21,135,166,72,158,223,237,452,0,689,718,532,492,453,279,325,270,373,54
 CARIBE,SLA DE SALAMANCA,300,5849,8888,10478,19064,21067,10036,10098,10101,5724,5125,6946,694,947,1421,74,742,2620,1834,885
 CARIBE,TAYRONA,1937,62191,73725,46753,34977,37307,82345,82514,108402,92193,91001,161157,208712,211000,228513,238332,242943,293525,304575,126629
 PACIFICO,GORGONA,4539,5105,4238,4046,3000,3639,4662,3724,5008,5889,5281,2967,3835,4021,4785,5655,5118,2617,2823,799
 PACIFICO,MALPELO,0,0,0,57,274,505,309,452,392,525,637,530,579,621,1142,1232,874,527,326,84
 PACIFICO,UTRIA,2628,4223,4478,4358,2783,2501,2217,1043,0,0,0,0,538,821,852,1007,1977,1864,3127,725
